Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary,,,,,,,,,,,,,
"E.ON UK Development Ltd v. King's Lynn and West Norfolk Council (Planning Inspector Decision, 2012)",United Kingdom,GBR,United Kingdom,[2012] P.A.D. 29,Mitigation,Challenge approval for the construction of wind turbines,,,Energy,E.ON UK Development Ltd|corporation,West Norfolk Council|government,,01/01/2012|Case opened|Local residents challenged the decision of a Planning Inspector to grant permission for the development of a wind farm.,01/01/2012|Dismissed|The claim was dismissed.,"The Planning Inspector reviewed approvals for the construction of two wind farms.  Local residents argued that harms outweighed the economic or environmental benefits. The Planning Inspector found that the wind farms would have adverse effects on the landscape character, cause visual harm, have a minor impact on heritage, and result in minor displacement of species. However, the Inspector found that the economic benefits of enhanced energy security and environmental benefits of
reduced carbon emissions, mitigation of climate change, and contribution to national renewable energy targets clearly outweigh the individual and cumulative identified harm.",,,,,,,,,,,,
"Goldfinch (Projects) Ltd. v. National Assembly for Wales (Queen's Bench Division, 2002)",United Kingdom,GBR,United Kingdom,[2002] EWHC 1275,Adaptation,Challenge denial of planning permit due to flood risks,,,Disaster Risk Management (Drm),Goldfinch (Projects) Limited|corporation,National Assembly for Wales|government,,"01/01/2002|Case opened|Claimant appealed the denial of planning permit for a residential development where a similar proposed development was approved for the same property by the previous landowner.;01/01/2002|Case decided|The court found for the Claimant, the permit was granted.","Claimant appealed the denial of planning permit for a residential development where a similar proposed development was approved for the same property by the previous landowner. The inspector had denied the permit on the basis that: (1) the proposal did not conform with sustainable development objectives contained in new national guidance and local policies; and (2) the proposal did not sufficiently take into account increased flood risks due to climate change. The court found for the Claimant,  reasoning that the inspector had given too much weight to these issues and too little weight to the previous inspector's rational for approving the permit.",,,,,,,,,,,,,
"Grainger Plc. & Others v. Mr T Nicholson (Employment Appeal Tribunal, 2010)",United Kingdom,GBR,United Kingdom,[2010] ICR 360,Mitigation,Challenge employment tribunal finding that belief in climate change falls under employment regulations,,Employment Equality (Religion or Belief) Regulations 2003|,Other,Grainger|corporation,T Nicholson|individual,,03/11/2009|Case decided|The Employment Appeal Tribunal dismissed the appeal,"Respondent company appealed the Employment Tribunal's finding that the belief in climate change was a protected belief under the Employment Equality (Religion or Belief) Regulations 2003. Mr. Nicholson filed an employment discrimination claim alleging that his employer terminated him due to his belief in catastrophic climate change. He argued that his belief in climate change was covered under the regulation because his belief affected most aspects of his life, including how he traveled, what he bought and ate, and how he disposed of his waste. The Employment Appeal Tribunal dismissed the appeal reasoning that a belief is not excluded from coverage just because it is political or based on science rather than religion.",,,,,,,,,,,,,
"Greenpeace v. Secretary of State for Trade and Industry, (Queen's Bench Division, Administrative Court, 2007)",United Kingdom,GBR,United Kingdom,[2007] EWHC 311,Mitigation,Challenge to consultation process for government report into construction of new nuclear power plants,,Aarhus Convention|,Energy,Greenpeace|ngo,Secretary of State for Trade and Industry|government,,"01/07/2006|Case opened|Greenpeace challenged the decision to develop new nuclear plants in the UK arguing the consultation process for the project was flawed.;15/02/2007|Case decided|The Court ruled that the process was flawed, but didn't quash the order, it granted declaratory relief.","The Judgment relates to a 12-month consultation process announced in November 2005 by the Secretary of State for Trade and Industry regarding the Government's review of its policy with respect to nuclear power stations. Greenpeace was among the parties that made submissions during the consultation. Despite many submissions against nuclear energy, the Secretary of State published a report in July 2006 announcing that the Government was favorable to the construction of new nuclear plants in the country. Greenpeace challenged that decision arguing that the consultation process had been flawed. Agreeing with Greenpeace's allegations, the High Court declared the consultation process to have been ""very seriously flawed"" (para. 116). Notably, the Court reminded the Secretary of State that the Government had signed and ratified the Aarhus Convention on Access to Information, Public Participation in Decision-making and Access to Justice in Environmental Matters and was thus bound by international law to provide full public consultation. Among other shortfalls, the Court highlighted that insufficient information was given to consultees, that the consultation document was seriously misleading, and that the consultation period was insufficient. Nevertheless, the Court held that the better outcome in the case was to grant declaratory relief, rather than a quashing order as asked by Greenpeace.",,,,,,,,,,,,,
"Hertfordshire County Council v. Secretary of State for Communities and Local Government (High Court of Justice Queen's Bench Division, 2011)",United Kingdom,GBR,United Kingdom,[2011] EWHC 1572, [2012] EWCA Civ 1473,Adaptation,Challenge permissions for urban expansion project,,,"Buildings, Residential and Commercial",Hertfordshire County Council|government,Secretary of State for Communities and Local Government|government,,01/01/2012|Case opened|Hertfordshire County Council challenged the decision of the Secretary to grant permission for urban expansion (decision from 1/02/2012),15/11/2012|Successful|The court agreed with the petitioners and quashed the Secretary's decision.,"Secretary of State for Communities and Local Government (""Secretary"") granted planning permission for urban expansion. The development site was partially within the area of two other councils who objected to the permission. Among other concerns, the councils alleged that the Secretary failed to consider the interim policy ""Carbon Dioxide and Energy Performance"" (ENG1), which requires new development of a certain size to ""secure at least 10% of their energy from decentralised and renewable or low-carbon sources"" where feasible. The court agreed with the petitioners and quashed the Secretary's decision.",,,,,,,,,,,
"Heathrow Airport Ltd. & Another v. Joss Garman & Others (Queen's Bench Division, 2007)",United Kingdom,GBR,United Kingdom,[2007] EWHC 1957,Mitigation,<div>Request for injunction against environmental activists attempting to disrupt the operations of an airport</div>,,,Transportation,Heathrow Airport Ltd|corporation,Joss Garman|individual,,06/08/2007|Case opened|A UK court granted injunctive relief to control a probable campaign of direct action and civil disobedience by environmental activists in the immediate vicinity of Heathrow airport.,"<div>A United Kingdom court granted injunctive relief to control a probable campaign of direct action and civil disobedience by environmental activists in the immediate vicinity of a UK airport. Environmental groups were planning to organize a climate change awareness/action event, likely to attract thousands of activists, in the immediate vicinity of Heathrow Airport. The court ordered an injunction under the common law torts of trespass and nuisance forbidding the protesters from disrupting or impairing the operation of the airport.</div>",,,,,,,,,,,,,
"In the Matter of An Application by Brian Quinn and Michael Quinn (The High Court of Justice in Northern Ireland, 2013)",United Kingdom,GBR,United Kingdom,[2013] NIQB 24,Mitigation,<div>Seeking judicial review of a refusal to permit their request to develop a renewable energy wind-farm on their lands.</div>,,‘Policy RE1: Renewable Energy Development’ in PPS18|,Energy,Michael Quinn|individual,Commissioner Fitzsimmons of the Planning Appeals Commission|government,,"17/08/2007|Permit denied|The Quinn brothers requested a permit to develop a renewable energy wind-farm in their lands in Northern Ireland, the request was denied.;14/02/2008|Appeal filed|The applicants sought judicial review of a Planning Commissioner's refusal to their permit request before the Planning Appeals Commission.;22/02/2013|Case decided|The Court ruled the Commissioner failed to properly consider the benefits of the wind farm and granted the permit.","<div>The applicants were brothers who owned lands in Northern Ireland. They sought judicial review of a Planning Commissioner's refusal to permit their request to develop a renewable energy wind-farm on their lands. The permit process was based on a balancing exercise weighing the wider environmental, economic and social benefits of a project against its adverse impact. The court accepted the brothers' assertion that the Commissioner's conduct of the test proceeded on a material mistake of fact. In particular, the Commissioner had failed to properly consider the environmental, economic and social benefits of the wind farm, including the importance of renewable energy generation to the UK meeting its greenhouse gas emissions targets.</div>",,,,,,,,,,,,,
"Jarrett v. Secretary of State for Communities and Local Government (High Court of Justice Queen's Bench Division, 2012)",United Kingdom,GBR,United Kingdom,[2012] EWHC 3642,Mitigation,Application to quash decision approving construction of wind turbine,,,Energy,Jarrett|individual,Secretary of State for Communities and Local Government|government,,01/01/2012|Case opened|Community members challenged an Inspector's decision to overturn the refusal of an application to erect a wind turbine (decision from 19/03/2012).,19/12/2012|Appeal successful|The court upheld the appeal and quashed the Inspector's decision.,"Community members challenged an Inspector's decision to  overturn the refusal of an application to erect a wind turbine. The applicants alleged that the Inspector had violated the Local Development Plan by allowing the project despite ""significant adverse impact on recognized environmental assets."" The Inspector had found that while the proposed turbine would have a harmful effect on the character and quality of the landscape, it was not so significant as to outweigh the benefits of renewable energy and mitigation of climate change. The court found that the harm to the character and quality of the landscape and the outlook of neighboring properties constituted a significant environmental impact. Thus, the Inspector had erred by failing to identify that the development was not in compliance with the Local Development Plan. On this basis, the court upheld the appeal and quashed the Inspector's decision.",,,,,,,,,,,,
"The Kingsnorth Six Trial (Maidstone Crown Court, 2008)",United Kingdom,GBR,United Kingdom,[no citation available],Mitigation,Criminal suit against protesters for trespassing and causing damage to a power station,,,"Energy, Other",Kingsnorth Coal|corporation,Greenpeace activist (six)|individual,,01/01/2008|Case opened|Court acquitted climate change activists of causing criminal damage at a coal-fired power station.,"A United Kingdom trial court acquitted climate change activists of causing criminal damage at a coal-fired power station.  Six Greenpeace activists attempted to shut down the Kingsnorth coal-fired power station in Kent by scaling the chimney and painting the Prime Minister's name down the side.  The defendants argued that by shutting down the coal plant for a day, they prevented greater damage to even more valuable property.  The jury's verdict was the first instance in which prevention of property damage resulting from the impacts of climate change was used as a lawful excuse in court.",,,,,,,,,,,,,
KS SPV35 Ltd v. Monmouthshire County Council (UK Planning Inspectorate 2015),United Kingdom,GBR,United Kingdom,[2015] P.A.D. 52,Mitigation,Permission to build solar farm,,Town and County Planning Act of 1990|,Energy,KS SPV 35 Ltd|corporation,Monmouthshire County Council|government,,01/01/2015|Case opened|KS SPV35 Ltd. appealed the Monmouthshire County Council's rejection of its application to install a solar farm.,01/01/2015|Permission granted|The Inspector granted the permission.,"KS SPV35 Ltd. appealed the Monmouthshire County Council's rejection of its application to install a solar farm near an Area of Outstanding Natural Beauty (""AONB""). The Planning Inspector overturned the Council's decision after considering arguments that the slightly revised plan for a solar farm would result in a loss of natural green space or harm to the area's natural character and wildlife. The Inspector conditioned approval of the plan for a solar farm on construction and maintenance of a surrounding boundary hedge of at least three meters in height.",,,,,,,,,,,,
"Lark Energy Ltd v. Secretary for State for Communities (High Court of Justice Queen Bench Division, 2014)",United Kingdom,GBR,United Kingdom,[2014] EWHC 200,Mitigation,Appeal refusal of a permit to build solar farm,,,Energy,Lark Energy Ltd|corporation,Secretary of State for Communities|government,,01/06/2013|Case opened|Lark Energy Ltd. challenged the decision of the Secretary for State Communities (Secretary) to dismiss its appeal against the refusal for the installation of a solar farm.,20/06/2014|Case decided|The court overruled the Secretary's decision,"Lark Energy Limited challenged the decision of the Secretary for State Communities (Secretary) to dismiss its appeal of the refusal of the District Council to grant planning permission for the installation of a 24 MW solar farm. Lark Energy had been granted a permit for a 14 MW solar array but then appealed to increase the installation. The inspector found that the scheme proposed on appeal should be approved because the significant benefits, including increased renewable energy and decreased greenhouse gas emissions, outweighed the limited harm to the character and appearance of the countryside. However, the Secretary disagreed, finding that the harm to the character and appearance of the area caused by the 24 MW scheme was greater than the permitted scheme such that it outweighed the benefits.  Lark Energy appealed the Secretary's findings in the High Court of Justice alleging that the Secretary had failed to sufficiently consider local and national development policies. The court found that the Secretary had failed to fulfill his duty to consider whether the 24 MW scheme was in accordance with local council's development plan. The court quashed the Secretary's decision and remanded the case to him for redetermination.",,,,,,,,,,,,
"Laughton Wind Farm Ltd. v. West Lindsey DC (Planning Inspector Decision, 2006)",United Kingdom,GBR,United Kingdom,[2006] P.A.D. 37,Mitigation,<div>Appeal of local council decision denying planning permission for wind turbines</div>,,Planning Policy Statement 22 (PPS22)|,Energy,Laughton Wind Farm|corporation,West Lindsey DC|government,,15/11/2005|Case opened|Laughton Wind Farm Ltd. appealed a decision by the West Lindsey Borough Council refusing planning permission for a proposal to build 10 wind turbines.,11/01/2006|Case decided|Appeal dismissed,"<div>Laughton Wind Farm Ltd. appealed a decision by the West Lindsey Borough Council refusing planning permission for a proposal to build ten wind turbines. The Planning Inspector concluded that the proposed wind farm would have an unacceptably substantial impact upon the local landscape and visual amenity of the local area, especially since the turbines would be taller than any other structure in the area and that the rotation of the blades would make them particularly conspicuous in the landscape.</div>",,,,,,,,,,,,
"Macarthur v. Secretary of State for Communities and Local Government (High Court of Justice Queen's Bench Division, 2013)",United Kingdom,GBR,United Kingdom,[2013] EWHC 3,Mitigation,Challenge planning permission for the construction of two wind farms,,,Energy,Macarthur|individual,Secretary of State for Communities and Local Government|government,,"01/01/2013|Case opened|Petitioners challenged the local council's denial of planning applications for the construction of two wind farms.;01/01/2013|Case decided|The Inspector heard the appeals jointly and overturned the council's decision, allowing for the wind farms to be constructed.;01/01/2013|Appeal unsuccessful|The court upheld the Inspector's decision.;01/01/2013|Appeal filed|Informal citizen groups challenged the Inspector's decisions in the High Court of Justice.","Petitioners challenged the local council's denial of planning applications for the construction of two wind farms on the grounds that the harm from visual and character impacts outweighed the proposals' modest contribution to climate change mitigation. The Inspector heard the appeals jointly and overturned the council's decisions. Taking into account recently adopted policy schemes that encouraged renewable energy, especially to address climate change, the Inspector found that the benefits substantially outweighed visual, character, and sound impacts.


Informal citizen groups challenged the Inspector's decisions in the High Court of Justice alleging that the decisions were based on material error of fact and the Inspector's reasoning was inadequate. The court rejected both arguments and upheld the Inspectors approval of the wind farm.",,,,,,,,,,,,,
"Newark & Sherwood District Council v. The Secretary of State for Communities and Local Government (High Court of Justice Queen's Bench Division, 2013)",United Kingdom,GBR,United Kingdom,[2013] EWHC 2162,Mitigation,<div>Challenge planning permission for the construction of a wind turbine</div>,,,Energy,Newark & Sherwood Dsitrict Council|government,The Secretary of State for Communitied and local government|government,,02/08/2011|Claim filed|Residents challenged an Inspector decision granting planning permissions for the installation of a wind turbine.,19/07/2013|Unsuccesful|The court upheld the Inspector's decision.,"<div>Residents challenged an Inspector decision granting planning permissions for the installation of a wind turbine. The Inspector had found that the benefits of renewable energy production and benefits to the rural economy outweighed the harm of ""inappropriate development."" The court upheld the Inspector's decision, finding that the Inspector's reasoning was acceptable despite the limited energy generation capacity of the turbine.</div>",,,,,,,,,,,,
"North Cote Farms Ltd v. Secretary of State for Communities and Local Government (High Court of Justice Queen's Bench Division Planning Court, 2015)",United Kingdom,GBR,United Kingdom,[2015] EWHC 292,Mitigation,Appeal of rejection of permit to build a wind turbine generator that would impact the setting of a designated heritage asset in the vicinity,,Section 66 of the Planning Act 1990|,Energy,NorthCote Farms LTD|corporation,East Riding of Workshite Council|government,,"01/01/2014|Case opened|NorthCote Farms LTD challenged the decision of a planning Inspector to deny permit for the construction of a windfarm (the decision is dated from 1/08/2014);20/02/2015|Case decided|The High Court of Justice affirmed the local authority's decision on the ground that the project would negatively affect Carnaby Temple, a nearby heritage asset.","A local planning inspector in England denied an application to construct a wind turbine generator that would negatively affect Carnaby Temple, a nearby heritage asset. The applicant appealed, complaining in particular that the planning inspector improperly considered the effect the wind turbine would have on the view from the Temple, despite the fact that the windows of the temple were bricked up. The high Court of Justice affirmed the local authority's decision on the basis that the Inspector was entitled to take into account the views from the Temple and to find that this and other negative impacts outweighed the wind turbine's potential contribution to the government's goal of reducing greenhouse gas emissions and addressing climate change.",,,,,,,,,,,,,
"Pugh v. Secretary of State for Communities and Local Government (High Court of Justice Queen's Bench Division Planning Court, 2015)",United Kingdom,GBR,United Kingdom,[2015] EWHC 3,Mitigation,Appeal of permit to build a wind turbine generator that would impact the settings of Scheduled Ancient Monuments and Listed Buildings in the vicinity,,,Energy,Richard Hackett Pugh|individual,Secretary of State for Communities and Local Government|government,Cornwall Council|intervening_party,11/06/2013|Permit denied|Permission for wind farm denied.,30/06/2014|Appeal filed,05/01/2015|Appeal unsuccessful|The High Court of Justice Planning Court affirmed the judgment of the Planning Inspector.,"A local planning authority in England denied an application to construct one wind turbine generator that would negatively affect nearby heritage assets. The applicant appealed, and the Planning Inspector reversed the local authority's decision on the basis that ""the benefits of the scheme, including the public benefits to be derived from tackling climate change out weigh the limited harm to the character and appearance of the area."" The claimant appealed to the High Court of Justice Planning Court, which affirmed the judgment of the Planning Inspector, finding that the Inspector had adequately explained his reasoning and that he was entitled to place ""considerable value"" on the climate change benefits of the scheme.",,,,,,,,,,,
"R. on the application of Corbett v. Cornwall Council (Queen's Bench Division, Administrative Court, 2013)",United Kingdom,GBR,United Kingdom,[2013] EWHC 3958,Mitigation,Challenge the permit approval for the construction of a wind farm,,Planning and Compulsory Purchase Act 2004|,Energy,William Corbett|individual,Conrwall Council|government,,27/02/2013|Case opened|Local residents and others challenged the permit for a wind farm (22/09/2011 - permit granted),12/12/2013|Unsuccesful|The court dismissed the appeal finding that the planning policy changes did not warrant reconsideration of the proposal and that all procedural requirements were fulfilled.,Local council granted approval for the construction of a wind farm despite visual landscape impacts because of the need for renewable energy sources to reduce greenhouse gas emissions. Local residents and others challenged the permit alleging that revocation of a policy document required the local council to reconsider its approval. The court dismissed the appeal finding that the planning policy changes did not warrant reconsideration of the proposal and that all procedural requirements were fulfilled.,,,,,,,,,,,,
"R. on the application of Griffin v. Newham London Borough Council (Queen's Bench Division, Administrative Court, 2011)",United Kingdom,GBR,United Kingdom,[2011] EWHC 53,Mitigation,<div>To challenge local council decision granting consent to increased flights</div>,,Town & Country Planning Act 1990|,Transportation,Griffin|individual,Newham London Borough Council|government,,01/01/2011|Case opened|Fight the Fights challenged the decision of the Newham London Borough Council to grant consent to increase the number of flights permitted per year at the London City Airport.,01/01/2011|Unsuccesful|The court denied the challenge.,"<div>Fight the Fights, an unincorporated local resident group challenged the decision of the Newham London Borough Council to grant consent to increase the number of flights permitted per year at the London City Airport because of concerns regarding impact on local residents and increased greenhouse gas emissions. The resident group challenged the consent on two grounds: (1) it was unlawful for the Council to grant the application without considering a change in the government policy on aviation and climate change; and (2) the Council failed to consult surrounding Councils and residents of those Burroughs. The court denied the challenge on both grounds. With respect to climate change and aviation, the court found that the increased flights did not contradict the current government policy, they were compatible with the 2050 reductions target and were consistent with the policy of making the best use of existing infrastructure.</div>",,,,,,,,,,,,
"R. (on the application of the London Borough of Hillingdon & Others) v. Secretary of State for Transport (Queen's Bench Division, High Court, 2010)",United Kingdom,GBR,United Kingdom,[2010] EWHC 626, [2017] EWHC 121 (Admin),Mitigation,<div>Coalition sought judicial review of government plans on airport expansion</div>,Climate Change Act|http://climate-laws.org/geographies/united-kingdom/laws/climate-change-act-34405aa9-396e-4a78-a662-20cad9696365,,Transportation,The London Borough of Hillingdon & Ors|government,Secretary of State for Transport|government,,01/01/2009|Case opened|Claimants challenged the Secretary of State's preliminary approval of a third runway at London's Heathrow Airport.|,26/03/2010|Decision upheld|British high court ordered government officials to consider the implications of climate change prior to making any final decision on a third runway at London's Heathrow Airport.|,30/01/2017|Claim dismissed|Claim dismissed on the grounds that the court lacked subject matter jurisdiction under the Planning Act 2008.|,"<div>On March 26, 2010, a British high court ordered government officials to consider the implications of climate change prior to making any final decision on a third runway at London's Heathrow Airport. The court ruled that the government had failed to adequately review all environmental and economic issues, and that the aviation policy should probably be revisited in light of the Climate Change Act 2008. This decision was appealed and overturned, and the claim that prompted it dismissed, on the grounds that the court lacked subject matter jurisdiction under the Planning Act 2008.</div>",,,,,,,,,,
"R (People & Planet) v. HM Treasury (Queen's Bench Division, Administrative Court, 2009)",United Kingdom,GBR,United Kingdom,[2009] EWHC 3020,Mitigation,<div>Sought judicial review of HM Treasury decision to invest public monies with RBS</div>,Climate Change Act|http://climate-laws.org/geographies/united-kingdom/laws/climate-change-act-34405aa9-396e-4a78-a662-20cad9696365,Companies Act 2006|,Other,PLATFORM|ngo,United Kingdom Treasury|government,,20/10/2009|Unsuccesful|The High Court denied the request for permission to hold a judicial review over the Treasury's actions.|,"<div>Campaigners from the World Development Movement, PLATFORM, and People &amp; Planet brought suit against the United Kingdom Treasury for its lack of adequate environmental and human rights considerations in investing with the Royal Bank of Scotland (RBS). RBS has allegedly used public monies to finance several controversial companies and projects that undermine the UK's commitment to halt climate change. The High Court denied the request for permission to hold a judicial review over the Treasury's actions.</div>",,,,,,,,,,,,,
"R. (Swiss International Airlines AG) v. Secretary of State for Climate Change and Energy (United Kingdom Court of Appeal, 2015)",United Kingdom,GBR,United Kingdom,[2015] EWCA Civ 331,Mitigation,<div>Challenge validity of EU decision suspending greenhouse gas emission allowance trading scheme for some flights to and from the European Union</div>,EU Emission Trading Scheme (EU ETS) (Directive 2003/87/EC establishing a scheme for greenhouse gas emission allowance trading within the Community and amending Council Directive 96/61/EC)|http://climate-laws.org/geographies/european-union/laws/eu-emission-trading-scheme-eu-ets-directive-2003-87-ec-establishing-a-scheme-for-greenhouse-gas-emission-allowance-trading-within-the-community-and-amending-council-directive-96-61-ec,Decision 377/2013/EU|,Transportation,Swiss International Airlines AG|corporation,The Environment Agency|government,,"24/04/2013|Case opened|Swiss International Airlines challenged the EU decision suspending GHG emission allowance trading scheme for some flights to and from the EU, except for Switzerland.;21/12/2016|Unsuccesful|The decision was upheld.","<div>The European Union temporarily suspended the greenhouse gas emissions allowance trading scheme for flights coming in and out of the EU, for the purpose of encouraging an agreement among members of the International Civil Aviation Organization to regulate aviation emissions. Flights between EU countries and Switzerland, however, were excluded from the suspension. Swiss International Airlines AG (Swissair) sued, claiming that the EU decision was invalid because it breached the principle of equal treatment.&nbsp;<br><br>A lower court had found that the principle of equal treatment did not apply to differential treatment by the EU towards non-EU member states such as Switzerland, and that, even if the principle did apply, it had not been breached in this case. On appeal, the court found that sufficient doubt existed as to the scope of the equal treatment principle and its application in this case to justify a referral to the European Union Court of Justice, the only court with jurisdiction to declare an EU law invalid. Hearing the case on referral from the the UK Court of Appeal, the EU Court of Justice determined that, contrary to Swissair's characterization of EU law, the principle of equal treatment did not prevent the EU from excluding non-EU countries from the temporary suspension of emissions allowance trading for aircraft.</div>",,,,,,,,,,,,,
"Re Application of Littlewood v. Bassetlaw DC (Queen's Bench Division, Administrative Court, 2008)",United Kingdom,GBR,United Kingdom,[2008] EWHC 1812,Mitigation,Sought judicial review of local authority's grant of planning permission to a developer.,,Town and Country Planning (Environmental Impact Assessment) (England and Wales) Regulations 1999|,Industry,Littlewood|government,Bassetlaw DC|government,,18/12/2007|Case opened|A local resident challenged the district council's decision of granting a planning permission for a pre-case concrete manufacturing facility project.,20/06/2008|Case decided,"A United Kingdom court upheld the grant of planning permission for a project which included a pre-case concrete manufacturing facility.  A local resident challenged the district council's decision, citing failure to consider the adverse impacts of the proposed facility on climate change, in particular, from carbon dioxide emissions.  The court held that the omission of the effect of concrete production on climate change had not been raised in time, and in any case, did not render the Environmental Statement deficient.",,,,,,,,,,,,
"Rockware Glass Ltd. v. Chester City Council (Administrative Court, High Court of Justice 2005)",United Kingdom,GBR,United Kingdom,[2005] EWHC 2250, [2010] EWCA Civ 172,Mitigation,<div>Challenge to the granting of an IPPC permit</div>,,Pollution Prevention and Control Regulations|,"Industry, Residential and Commercial",Rockware Glass Ltd|corporation,Chester City Council|government,,01/01/2005|Case decided|The court upheld a decision,"<div>A Planning Pollution Control License was challenged by a commercial rival. The court upheld a decision quashing an integrated pollution prevention and control (IPPC) permit granted to operate an industrial plant for the manufacture of glassware since the purpose of the Pollution Prevention and Control (England and Wales) Regulations 2000 was to control pollution by stringent measures not merely by reference to the standards contained in the Environment Quality Standards, which provided only minimum requirements. The aspect of the initial decision concerning an environmental impact assessment was challenged some years later; that challenge was rejected.</div>",,,,,,,,,,,,
"RWE Npower Renewables v. East Lindsey DC (Planning Inspectorate Decision, 2011)",United Kingdom,GBR,United Kingdom,APP/D2510/A/10/2130539,Mitigation,Appeal by Npower Renewables requesting planning permission for a six-turbine wind farm in Lincolnshire,,Planning and Environment Act 1987|,Energy,RWE Npower Renewables|corporation,East Lindsey DC|government,,"01/01/2011|Appeal dismissed|The Inspector concludes that the costs of the project would outweigh the benefits, the appeal was denied.","An appeal by Npower Renewables requesting planning permission for a six-turbine wind farm in Lincolnshire, England was dismissed.  Npower submitted an environmental statement (ES) with its 2006 application, and the Inspector recognized that the project would lead to a reduction in GHG emissions.  However, the Inspector found that this project would have an ""industrializing effect on the countryside"" and would disrupt the local tourist trade, and that it could impair the success of coastal park and grazing marsh projects planned to improve biodiversity in the area.  Balancing the reduction in GHG emissions which the project would provide with concern for the coastal sensitivity of the area, as well as potential negative effects on the landscape's aesthetics, led the Inspector to conclude that the costs of the project would outweigh the benefits.",,,,,,,,,,,,,
"Solar Century Holdings Ltd v. Secretary of State for Energy and Climate Change (High Court of Justice Queen's Bench Division, 2014)",United Kingdom,GBR,United Kingdom,[2014] EWHC 3677,Mitigation,Challenge discontinuance of a renewable energy support scheme based on financial considerations,,Electricity Act 1989|,Energy,Solar Century Holdings Ltd|corporation,Secretary of State for Energy and Climate Change|government,,01/01/2014|Case opened|Four solar energy companies challenged a decision of the Secretary of State for Energy and Climate Change (the “Secretary”ù) to discontinue a renewable energy support scheme.,07/11/2014|Unsuccesful|The Court upheld the government's decision and found that the Secretary acted within his authority.,"Four solar energy companies challenged a decision of the Secretary of State for Energy and Climate Change (the ""Secretary"") to discontinue a renewable energy support scheme.  The support scheme provided financial incentives for the creation of generation capacity from renewable sources, in line with the United Kingdom's goal to combat climate change by decreasing greenhouse gas emissions and increasing energy consumption from renewable sources. Although the government had represented that the scheme would run until 2017, the Secretary announced that it would end two years early due to unexpectedly high costs. The solar energy companies argued, inter alia, that the Secretary's decision was beyond his statutory authority and that government statements indicating the program would run until 2017 were binding. The court found that the Secretary acted within his authority, citing both the need to balance public policy objectives in the field of energy and climate change and law requiring the Secretary to exercise budgetary discipline.",,,,,,,,,,,,
"Sustainable Shetland v. Scottish Minister (Outer House, Court of Session, 2013)",United Kingdom,GBR,United Kingdom,[2014] CSIH 60,Mitigation,Challenge approval of permit to construct a wind farm,,Electricity Act 1989|,the Electricity Works Regulations 2000|,Town and Country Planning Act 1997 (Scotland)|,Energy,Sustainable Shetland|ngo,Scottish Minister|government,,04/04/2012|Case opened|Sustainable Shetland challenged the Scottish Minister's approval of an application by Viking Energy for the construction and operation of a 457 megawatt Wind Farm,03/12/2013|Successful|The Court ruled in favor of Sustainable Shetland.,"Sustainable Shetland challenged the Scottish Minister's approval of an application by Viking Energy for the construction and operation of a 457 megawatt Wind Farm on a number of grounds. In granting the application, the Scottish Ministers had determined that that the advantages of meeting renewable energy and climate change goals and economic impacts outweighed negative consequences. The court accepted Sustainable Shetland's argument that the Scottish Ministers had no power under the Energy Power Act 1989 to grant the consent because Viking Energy did not yet hold an electricity generation license. In addition, the court found that the Ministers had failed to take proper account of their obligations under the Wild Birds Directive 2009.",,,,,,,,,,
"Stuart Dimmock v. Secretary of State for Education and Skills (Queen's Bench Division, Administrative Court, 2007)",United Kingdom,GBR,United Kingdom,[2007] EWHC 2288,Mitigation,Challenge to government decision to show film on global warming in schools,,,Other,Stuart Dimmock|individual,Secretary of State for Education and Skills|government,,02/05/2007|Case opened|Stuart Dimmock challenged the decision to distribute the documentary “An Inconvenient Truth”ù to English state schools as a teaching aid.,10/10/2007|Case decided|Court ruled that the filmed could be shown undertwo conditions.,"A United Kingdom Court upheld Secretary of State's decision to distribute Al Gore's documentary, ""An Inconvenient Truth"" to English state schools as a teaching aid.  Claimant parent challenged the government's decision to distribute the film on global warming as amounting to the promotion of partisan political views in violation of the Education Act of 1996.  The court found the film substantially founded upon scientific evidence and determined that it could be shown, as long as teachers provided guidance explaining that, (1) some matters contained in the film were not supported or promoted by the government, and (2) the errors contained in the film.",,,,,,,,,,,,
